eval_episode,step,reward,latency_ms,energy_j,tier,tier_name,resource,deadline_met,over_capacity,category,agent,seed,w_latency,w_energy,iot_nodes,arrival_rate
1,5,-1.2278168661221665,36.310485746102756,1.0598148410699515,2,Cloud,0,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,6,-2.8749044823362766,41.39268352004185,0.38449887106346725,2,Cloud,0,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,7,-3.581150545371485,64.82052458360693,1.4521779627647942,2,Cloud,0,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,8,-4.94545382430171,84.73481591965486,2.171985313596693,2,Cloud,0,True,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,9,-1.7681114692887112,12.929562871092706,0.1706695777441918,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,10,-1.4424477007006005,52.320788194831266,1.9003056004683645,2,Cloud,0,True,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,11,-0.578241594967529,21.79986626568974,0.352864929966204,2,Cloud,0,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,12,-1.3546600709797834,89.3786071615701,4.5087837623896645,2,Cloud,0,True,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,13,-4.1506005343691745,67.02183326562178,1.582359369826395,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,14,-0.47852608381179984,21.121365773596573,0.22470311749010566,2,Cloud,0,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,15,-3.648728258497613,145.4380868617577,8.531031947582811,2,Cloud,0,False,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,16,-0.9193635529199778,35.84680651039221,0.8180000453534642,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,17,-7.407518352205681,154.16920157685837,6.529019287790959,2,Cloud,0,False,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,18,-2.847139596692142,88.37137413873774,2.198996316580343,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,19,-0.27692798106848154,17.692798106848155,0.3400555488849002,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,20,-14.05227949599281,136.84472185127197,1.0168933720629327,2,Cloud,0,False,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,21,-0.695503054895436,59.5503054895436,1.4702082482176773,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,22,-2.7010872908858317,48.5695624324506,0.951863215239524,2,Cloud,0,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,23,-5.094898647473081,101.91375937167987,4.434278369267579,2,Cloud,0,False,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,24,-1.045663631807774,25.95584637338957,0.5449760651275607,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,25,-1.498595230911627,59.022694006007455,2.429495173519964,2,Cloud,0,True,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,26,-10.5568226290898,157.72999315967832,4.713964373460949,2,Cloud,0,False,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,27,-0.6648588906916788,49.66938179264078,1.2016169339730214,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,28,-0.4515035059187069,32.904535382443434,1.3064173619107138,2,Cloud,0,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
1,29,-0.42793817157531777,31.071229966124314,1.0384330301410132,2,Cloud,0,True,False,Moderate,Proposed-HierDDQN,0,1.0,0.0,10,5.0
2,0,-9.121491279781758,102.19352403790526,1.889984184888693,2,Cloud,0,False,False,Complex,Proposed-HierDDQN,0,1.0,0.0,10,5.0
