eval_episode,step,reward,latency_ms,energy_j,tier,tier_name,resource,deadline_met,over_capacity,category,agent,seed,w_latency,w_energy,iot_nodes,arrival_rate
1,11,-1.2082285106609705,42.60318189469575,0.9676682852054368,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,12,-2.439883887965278,53.9209136915878,1.212264869547584,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,13,-0.28581969954081565,32.41359734296307,0.7375171282600029,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,14,-0.333597617338904,20.698108467702358,0.41384664084944495,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,15,-1.6104915447491843,57.85100081585853,1.3641816481076465,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,16,-0.2632571639602722,12.674070334490857,0.19765346132502143,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,17,-0.3837436784713299,13.27443831607452,0.207689902210507,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,18,-3.237940444925898,58.41799190489242,1.2930086515590822,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,19,-2.2335362041672266,67.02183326562178,1.582359369826395,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,20,-0.19583785904522283,9.920782329403469,0.1257773436028841,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,21,-6.4222303737400095,188.7067494842939,4.801157449362675,1,Fog,1,False,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,22,-0.1474865876030605,14.448258130267595,0.25245296951722507,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,23,-1.4388683415598862,71.24759360197287,1.7405304287273713,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,24,-4.166834482188396,17.31707574837961,0.11692755878514643,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,25,-1.6434694300041053,88.37137413873774,2.198996316580343,1,Fog,1,True,False,Complex,Proposed-HierDDQN,0,0.5,0.5,10,5.0
1,26,-0.1724695454227308,17.692798106848155,0.3400555488849002,1,Fog,1,True,False,Moderate,Proposed-HierDDQN,0,0.5,0.5,10,5.0
